(79.62921995, 43.34850674),
(79.59113706, 43.07772439),
(79.55283513, 42.80886887),
(79.51431656, 42.54192994),
(79.47558372, 42.27689717),
(79.4366374, 42.01374947),
(79.39748464, 41.75250777),
(79.35812144, 41.49311916),
(79.31855483, 41.23560408),
(79.27878549, 40.97994095),
(79.23881567, 40.72611854),
(79.19864758, 40.47412553),
(79.15828343, 40.22395049),
(79.11772538, 39.97558189),
(79.07697396, 39.72899824),
(79.03603457, 39.48420769),
(78.99490769, 39.24118853),
(78.95359541, 38.99992893),
(78.91209979, 38.760417),
(78.87042288, 38.52264082),
(78.8285667, 38.28658839),
(78.78653155, 38.05223829),
(78.74432282, 37.81959732),
(78.70194075, 37.58864392),
(78.6593873, 37.35936597),
(78.61666437, 37.13175132),
(78.57377387, 36.90578783),
(78.53071766, 36.68146332),
(78.48749587, 36.45875669),
(78.44411379, 36.23767368),
(78.40057151, 36.01819313),
(78.35687082, 35.80030286),
(78.31301349, 35.58399072),
(78.26900127, 35.36924455),
(78.2248359, 35.15605222),
(78.18051729, 34.94439315),
(78.1360525, 34.73428068),
(78.09143604, 34.52566895),
(78.04667494, 34.3185712),
(78.00176905, 34.11296699),
(77.95671997, 33.90884438),
(77.9115293, 33.70619142),
(77.8661968, 33.50498817),
(77.8207295, 33.30524698),
(77.77512161, 33.10692391),
(77.72938017, 32.91003122),
(77.68350484, 32.71454921),
(77.6374971, 32.52046623),
(77.59135842, 32.32777068),
(77.54509025, 32.13645102),
(77.49869403, 31.94649576),
(77.45216928, 31.75788592),
(77.40552117, 31.57062529),
(77.35874919, 31.38469497),
(77.31185471, 31.2000837),
(77.26483908, 31.01678031),
(77.21770362, 30.83477369),
(77.17044966, 30.65405278),
(77.12307659, 30.47459942),
(77.0755895, 30.29641712),
(77.02798775, 30.11948781),
(76.98027259, 29.9438007),
(76.93244527, 29.7693451),
(76.884507, 29.59611037),
(76.83645899, 29.42408597),
(76.7883005, 29.25325456),
(76.74003656, 29.08361946),
(76.69166642, 28.91516346),
(76.64319122, 28.74787628),
(76.59461209, 28.58174774),
(76.54593015, 28.41676773),
(76.49714651, 28.25292621),
(76.4482603, 28.09020671),
(76.39927849, 27.9286189),
(76.35019428, 27.76812698),
(76.30101463, 27.60874065),
(76.2517386, 27.45044379),
(76.20236724, 27.29322681),
(76.15290154, 27.13708021),
